BRC Query: Large,Points,# Of Points
"[6, 0, 10, 4]","[(6, 0), (6, 1), (7, 0), (7, 1), (6, 2), (6, 3), (7, 2), (7, 3), (6, 4), (7, 4), (8, 0), (8, 1), (9, 0), (9, 1), (8, 2), (8, 3), (9, 2), (9, 3), (10, 0), (10, 1), (10, 2), (10, 3), (8, 4), (9, 4), (10, 4)]",25
"[5, 0, 9, 4]","[(5, 0), (5, 1), (5, 2), (5, 3), (6, 0), (6, 1), (7, 0), (7, 1), (6, 2), (6, 3), (7, 2), (7, 3), (5, 4), (6, 4), (7, 4), (8, 0), (8, 1), (9, 0), (9, 1), (8, 2), (8, 3), (9, 2), (9, 3), (8, 4), (9, 4)]",25
"[1, 9, 5, 13]","[(1, 9), (1, 10), (1, 11), (2, 9), (3, 9), (2, 10), (2, 11), (3, 10), (3, 11), (1, 12), (1, 13), (2, 12), (2, 13), (3, 12), (3, 13), (4, 9), (5, 9), (4, 10), (4, 11), (5, 10), (5, 11), (4, 12), (4, 13), (5, 12), (5, 13)]",25
"[0, 4, 4, 8]","[(0, 4), (0, 5), (1, 4), (1, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 4), (2, 5), (3, 4), (3, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 4), (4, 5), (4, 6), (4, 7), (0, 8), (1, 8), (2, 8), (3, 8), (4, 8)]",25
"[10, 11, 14, 15]","[(10, 11), (11, 11), (10, 12), (10, 13), (11, 12), (11, 13), (10, 14), (10, 15), (11, 14), (11, 15), (12, 11), (13, 11), (14, 11), (12, 12), (12, 13), (13, 12), (13, 13), (12, 14), (12, 15), (13, 14), (13, 15), (14, 12), (14, 13), (14, 14), (14, 15)]",25
"[4, 11, 8, 15]","[(4, 11), (5, 11), (6, 11), (7, 11), (4, 12), (4, 13), (5, 12), (5, 13), (4, 14), (4, 15), (5, 14), (5, 15), (6, 12), (6, 13), (7, 12), (7, 13), (6, 14), (6, 15), (7, 14), (7, 15), (8, 11), (8, 12), (8, 13), (8, 14), (8, 15)]",25
"[3, 2, 7, 6]","[(3, 2), (3, 3), (3, 4), (3, 5), (3, 6), (4, 2), (4, 3), (5, 2), (5, 3), (6, 2), (6, 3), (7, 2), (7, 3), (4, 4), (4, 5), (5, 4), (5, 5), (4, 6), (5, 6), (6, 4), (6, 5), (7, 4), (7, 5), (6, 6), (7, 6)]",25
"[12, 9, 16, 13]","[(12, 9), (13, 9), (12, 10), (12, 11), (13, 10), (13, 11), (14, 9), (15, 9), (14, 10), (14, 11), (15, 10), (15, 11), (12, 12), (12, 13), (13, 12), (13, 13), (14, 12), (14, 13), (15, 12), (15, 13)]",20
"[4, 3, 8, 7]","[(4, 3), (5, 3), (6, 3), (7, 3), (4, 4), (4, 5), (5, 4), (5, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 4), (6, 5), (7, 4), (7, 5), (6, 6), (6, 7), (7, 6), (7, 7), (8, 3), (8, 4), (8, 5), (8, 6), (8, 7)]",25
"[1, 6, 5, 10]","[(1, 6), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (1, 8), (1, 9), (1, 10), (2, 8), (2, 9), (3, 8), (3, 9), (2, 10), (3, 10), (4, 8), (4, 9), (5, 8), (5, 9), (4, 10), (5, 10)]",25
"[7, 11, 11, 15]","[(7, 11), (7, 12), (7, 13), (7, 14), (7, 15), (8, 11), (9, 11), (10, 11), (11, 11), (8, 12), (8, 13), (9, 12), (9, 13), (8, 14), (8, 15), (9, 14), (9, 15), (10, 12), (10, 13), (11, 12), (11, 13), (10, 14), (10, 15), (11, 14), (11, 15)]",25
"[5, 6, 9, 10]","[(5, 6), (5, 7), (6, 6), (6, 7), (7, 6), (7, 7), (5, 8), (5, 9), (5, 10), (6, 8), (6, 9), (7, 8), (7, 9), (6, 10), (7, 10), (8, 6), (8, 7), (9, 6), (9, 7), (8, 8), (8, 9), (9, 8), (9, 9), (8, 10), (9, 10)]",25
"[2, 5, 6, 9]","[(2, 5), (3, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (5, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 5), (6, 6), (6, 7), (2, 8), (2, 9), (3, 8), (3, 9), (4, 8), (4, 9), (5, 8), (5, 9), (6, 8), (6, 9)]",25
"[6, 10, 10, 14]","[(6, 10), (6, 11), (7, 10), (7, 11), (6, 12), (6, 13), (7, 12), (7, 13), (6, 14), (7, 14), (8, 10), (8, 11), (9, 10), (9, 11), (10, 10), (10, 11), (8, 12), (8, 13), (9, 12), (9, 13), (8, 14), (9, 14), (10, 12), (10, 13), (10, 14)]",25
"[10, 6, 14, 10]","[(10, 6), (10, 7), (11, 6), (11, 7), (12, 6), (12, 7), (13, 6), (13, 7), (14, 6), (14, 7), (10, 8), (10, 9), (11, 8), (11, 9), (10, 10), (11, 10), (12, 8), (12, 9), (13, 8), (13, 9), (12, 10), (13, 10), (14, 8), (14, 9), (14, 10)]",25
"[2, 7, 6, 11]","[(2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (2, 8), (2, 9), (3, 8), (3, 9), (2, 10), (2, 11), (3, 10), (3, 11), (4, 8), (4, 9), (5, 8), (5, 9), (4, 10), (4, 11), (5, 10), (5, 11), (6, 8), (6, 9), (6, 10), (6, 11)]",25
"[11, 2, 15, 6]","[(11, 2), (11, 3), (11, 4), (11, 5), (11, 6), (12, 2), (12, 3), (13, 2), (13, 3), (14, 2), (14, 3), (15, 2), (15, 3), (12, 4), (12, 5), (13, 4), (13, 5), (12, 6), (13, 6), (14, 4), (14, 5), (15, 4), (15, 5), (14, 6), (15, 6)]",25
"[8, 5, 12, 9]","[(8, 5), (9, 5), (8, 6), (8, 7), (9, 6), (9, 7), (10, 5), (11, 5), (10, 6), (10, 7), (11, 6), (11, 7), (12, 5), (12, 6), (12, 7), (8, 8), (8, 9), (9, 8), (9, 9), (10, 8), (10, 9), (11, 8), (11, 9), (12, 8), (12, 9)]",25
"[2, 3, 6, 7]","[(2, 3), (3, 3), (2, 4), (2, 5), (3, 4), (3, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 3), (5, 3), (6, 3), (4, 4), (4, 5), (5, 4), (5, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 4), (6, 5), (6, 6), (6, 7)]",25
"[2, 7, 6, 11]","[(2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (2, 8), (2, 9), (3, 8), (3, 9), (2, 10), (2, 11), (3, 10), (3, 11), (4, 8), (4, 9), (5, 8), (5, 9), (4, 10), (4, 11), (5, 10), (5, 11), (6, 8), (6, 9), (6, 10), (6, 11)]",25
"[5, 12, 9, 16]","[(5, 12), (5, 13), (5, 14), (5, 15), (6, 12), (6, 13), (7, 12), (7, 13), (6, 14), (6, 15), (7, 14), (7, 15), (8, 12), (8, 13), (9, 12), (9, 13), (8, 14), (8, 15), (9, 14), (9, 15)]",20
"[6, 6, 10, 10]","[(6, 6), (6, 7), (7, 6), (7, 7), (6, 8), (6, 9), (7, 8), (7, 9), (6, 10), (7, 10), (8, 6), (8, 7), (9, 6), (9, 7), (10, 6), (10, 7), (8, 8), (8, 9), (9, 8), (9, 9), (8, 10), (9, 10), (10, 8), (10, 9), (10, 10)]",25
"[12, 7, 16, 11]","[(12, 7), (13, 7), (14, 7), (15, 7), (12, 8), (12, 9), (13, 8), (13, 9), (12, 10), (12, 11), (13, 10), (13, 11), (14, 8), (14, 9), (15, 8), (15, 9), (14, 10), (14, 11), (15, 10), (15, 11)]",20
"[6, 11, 10, 15]","[(6, 11), (7, 11), (6, 12), (6, 13), (7, 12), (7, 13), (6, 14), (6, 15), (7, 14), (7, 15), (8, 11), (9, 11), (10, 11), (8, 12), (8, 13), (9, 12), (9, 13), (8, 14), (8, 15), (9, 14), (9, 15), (10, 12), (10, 13), (10, 14), (10, 15)]",25
"[3, 12, 7, 16]","[(3, 12), (3, 13), (3, 14), (3, 15), (4, 12), (4, 13), (5, 12), (5, 13), (4, 14), (4, 15), (5, 14), (5, 15), (6, 12), (6, 13), (7, 12), (7, 13), (6, 14), (6, 15), (7, 14), (7, 15)]",20
"[3, 7, 7, 11]","[(3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (3, 8), (3, 9), (3, 10), (3, 11), (4, 8), (4, 9), (5, 8), (5, 9), (4, 10), (4, 11), (5, 10), (5, 11), (6, 8), (6, 9), (7, 8), (7, 9), (6, 10), (6, 11), (7, 10), (7, 11)]",25
"[3, 9, 7, 13]","[(3, 9), (3, 10), (3, 11), (3, 12), (3, 13), (4, 9), (5, 9), (4, 10), (4, 11), (5, 10), (5, 11), (6, 9), (7, 9), (6, 10), (6, 11), (7, 10), (7, 11), (4, 12), (4, 13), (5, 12), (5, 13), (6, 12), (6, 13), (7, 12), (7, 13)]",25
"[11, 0, 15, 4]","[(11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (12, 0), (12, 1), (13, 0), (13, 1), (12, 2), (12, 3), (13, 2), (13, 3), (14, 0), (14, 1), (15, 0), (15, 1), (14, 2), (14, 3), (15, 2), (15, 3), (12, 4), (13, 4), (14, 4), (15, 4)]",25
"[6, 0, 10, 4]","[(6, 0), (6, 1), (7, 0), (7, 1), (6, 2), (6, 3), (7, 2), (7, 3), (6, 4), (7, 4), (8, 0), (8, 1), (9, 0), (9, 1), (8, 2), (8, 3), (9, 2), (9, 3), (10, 0), (10, 1), (10, 2), (10, 3), (8, 4), (9, 4), (10, 4)]",25
"[3, 10, 7, 14]","[(3, 10), (3, 11), (3, 12), (3, 13), (3, 14), (4, 10), (4, 11), (5, 10), (5, 11), (6, 10), (6, 11), (7, 10), (7, 11), (4, 12), (4, 13), (5, 12), (5, 13), (4, 14), (5, 14), (6, 12), (6, 13), (7, 12), (7, 13), (6, 14), (7, 14)]",25
"[1, 2, 5, 6]","[(1, 2), (1, 3), (2, 2), (2, 3), (3, 2), (3, 3), (1, 4), (1, 5), (1, 6), (2, 4), (2, 5), (3, 4), (3, 5), (2, 6), (3, 6), (4, 2), (4, 3), (5, 2), (5, 3), (4, 4), (4, 5), (5, 4), (5, 5), (4, 6), (5, 6)]",25
"[5, 0, 9, 4]","[(5, 0), (5, 1), (5, 2), (5, 3), (6, 0), (6, 1), (7, 0), (7, 1), (6, 2), (6, 3), (7, 2), (7, 3), (5, 4), (6, 4), (7, 4), (8, 0), (8, 1), (9, 0), (9, 1), (8, 2), (8, 3), (9, 2), (9, 3), (8, 4), (9, 4)]",25
"[11, 10, 15, 14]","[(11, 10), (11, 11), (11, 12), (11, 13), (11, 14), (12, 10), (12, 11), (13, 10), (13, 11), (14, 10), (14, 11), (15, 10), (15, 11), (12, 12), (12, 13), (13, 12), (13, 13), (12, 14), (13, 14), (14, 12), (14, 13), (15, 12), (15, 13), (14, 14), (15, 14)]",25
"[10, 2, 14, 6]","[(10, 2), (10, 3), (11, 2), (11, 3), (10, 4), (10, 5), (11, 4), (11, 5), (10, 6), (11, 6), (12, 2), (12, 3), (13, 2), (13, 3), (14, 2), (14, 3), (12, 4), (12, 5), (13, 4), (13, 5), (12, 6), (13, 6), (14, 4), (14, 5), (14, 6)]",25
"[3, 9, 7, 13]","[(3, 9), (3, 10), (3, 11), (3, 12), (3, 13), (4, 9), (5, 9), (4, 10), (4, 11), (5, 10), (5, 11), (6, 9), (7, 9), (6, 10), (6, 11), (7, 10), (7, 11), (4, 12), (4, 13), (5, 12), (5, 13), (6, 12), (6, 13), (7, 12), (7, 13)]",25
"[4, 9, 8, 13]","[(4, 9), (5, 9), (4, 10), (4, 11), (5, 10), (5, 11), (6, 9), (7, 9), (6, 10), (6, 11), (7, 10), (7, 11), (4, 12), (4, 13), (5, 12), (5, 13), (6, 12), (6, 13), (7, 12), (7, 13), (8, 9), (8, 10), (8, 11), (8, 12), (8, 13)]",25
"[1, 11, 5, 15]","[(1, 11), (2, 11), (3, 11), (1, 12), (1, 13), (1, 14), (1, 15), (2, 12), (2, 13), (3, 12), (3, 13), (2, 14), (2, 15), (3, 14), (3, 15), (4, 11), (5, 11), (4, 12), (4, 13), (5, 12), (5, 13), (4, 14), (4, 15), (5, 14), (5, 15)]",25
"[8, 12, 12, 16]","[(8, 12), (8, 13), (9, 12), (9, 13), (8, 14), (8, 15), (9, 14), (9, 15), (10, 12), (10, 13), (11, 12), (11, 13), (10, 14), (10, 15), (11, 14), (11, 15), (12, 12), (12, 13), (12, 14), (12, 15)]",20
"[4, 12, 8, 16]","[(4, 12), (4, 13), (5, 12), (5, 13), (4, 14), (4, 15), (5, 14), (5, 15), (6, 12), (6, 13), (7, 12), (7, 13), (6, 14), (6, 15), (7, 14), (7, 15), (8, 12), (8, 13), (8, 14), (8, 15)]",20
"[5, 6, 9, 10]","[(5, 6), (5, 7), (6, 6), (6, 7), (7, 6), (7, 7), (5, 8), (5, 9), (5, 10), (6, 8), (6, 9), (7, 8), (7, 9), (6, 10), (7, 10), (8, 6), (8, 7), (9, 6), (9, 7), (8, 8), (8, 9), (9, 8), (9, 9), (8, 10), (9, 10)]",25
"[7, 0, 11, 4]","[(7, 0), (7, 1), (7, 2), (7, 3), (7, 4), (8, 0), (8, 1), (9, 0), (9, 1), (8, 2), (8, 3), (9, 2), (9, 3), (10, 0), (10, 1), (11, 0), (11, 1), (10, 2), (10, 3), (11, 2), (11, 3), (8, 4), (9, 4), (10, 4), (11, 4)]",25
"[10, 11, 14, 15]","[(10, 11), (11, 11), (10, 12), (10, 13), (11, 12), (11, 13), (10, 14), (10, 15), (11, 14), (11, 15), (12, 11), (13, 11), (14, 11), (12, 12), (12, 13), (13, 12), (13, 13), (12, 14), (12, 15), (13, 14), (13, 15), (14, 12), (14, 13), (14, 14), (14, 15)]",25
"[8, 10, 12, 14]","[(8, 10), (8, 11), (9, 10), (9, 11), (10, 10), (10, 11), (11, 10), (11, 11), (8, 12), (8, 13), (9, 12), (9, 13), (8, 14), (9, 14), (10, 12), (10, 13), (11, 12), (11, 13), (10, 14), (11, 14), (12, 10), (12, 11), (12, 12), (12, 13), (12, 14)]",25
"[10, 8, 14, 12]","[(10, 8), (10, 9), (11, 8), (11, 9), (10, 10), (10, 11), (11, 10), (11, 11), (10, 12), (11, 12), (12, 8), (12, 9), (13, 8), (13, 9), (12, 10), (12, 11), (13, 10), (13, 11), (14, 8), (14, 9), (14, 10), (14, 11), (12, 12), (13, 12), (14, 12)]",25
"[11, 6, 15, 10]","[(11, 6), (11, 7), (12, 6), (12, 7), (13, 6), (13, 7), (14, 6), (14, 7), (15, 6), (15, 7), (11, 8), (11, 9), (11, 10), (12, 8), (12, 9), (13, 8), (13, 9), (12, 10), (13, 10), (14, 8), (14, 9), (15, 8), (15, 9), (14, 10), (15, 10)]",25
"[9, 7, 13, 11]","[(9, 7), (10, 7), (11, 7), (12, 7), (13, 7), (9, 8), (9, 9), (9, 10), (9, 11), (10, 8), (10, 9), (11, 8), (11, 9), (10, 10), (10, 11), (11, 10), (11, 11), (12, 8), (12, 9), (13, 8), (13, 9), (12, 10), (12, 11), (13, 10), (13, 11)]",25
"[7, 4, 11, 8]","[(7, 4), (7, 5), (7, 6), (7, 7), (7, 8), (8, 4), (8, 5), (9, 4), (9, 5), (8, 6), (8, 7), (9, 6), (9, 7), (10, 4), (10, 5), (11, 4), (11, 5), (10, 6), (10, 7), (11, 6), (11, 7), (8, 8), (9, 8), (10, 8), (11, 8)]",25
"[11, 7, 15, 11]","[(11, 7), (12, 7), (13, 7), (14, 7), (15, 7), (11, 8), (11, 9), (11, 10), (11, 11), (12, 8), (12, 9), (13, 8), (13, 9), (12, 10), (12, 11), (13, 10), (13, 11), (14, 8), (14, 9), (15, 8), (15, 9), (14, 10), (14, 11), (15, 10), (15, 11)]",25
"[3, 5, 7, 9]","[(3, 5), (3, 6), (3, 7), (4, 5), (5, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 5), (7, 5), (6, 6), (6, 7), (7, 6), (7, 7), (3, 8), (3, 9), (4, 8), (4, 9), (5, 8), (5, 9), (6, 8), (6, 9), (7, 8), (7, 9)]",25
"[4, 0, 8, 4]","[(4, 0), (4, 1), (5, 0), (5, 1), (4, 2), (4, 3), (5, 2), (5, 3), (6, 0), (6, 1), (7, 0), (7, 1), (6, 2), (6, 3), (7, 2), (7, 3), (4, 4), (5, 4), (6, 4), (7, 4), (8, 0), (8, 1), (8, 2), (8, 3), (8, 4)]",25
"[0, 0, 4, 4]","[(0, 0), (0, 1), (1, 0), (1, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 0), (2, 1), (3, 0), (3, 1), (2, 2), (2, 3), (3, 2), (3, 3), (0, 4), (1, 4), (2, 4), (3, 4), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4)]",25
"[2, 5, 6, 9]","[(2, 5), (3, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (5, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 5), (6, 6), (6, 7), (2, 8), (2, 9), (3, 8), (3, 9), (4, 8), (4, 9), (5, 8), (5, 9), (6, 8), (6, 9)]",25
"[0, 4, 4, 8]","[(0, 4), (0, 5), (1, 4), (1, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 4), (2, 5), (3, 4), (3, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 4), (4, 5), (4, 6), (4, 7), (0, 8), (1, 8), (2, 8), (3, 8), (4, 8)]",25
"[10, 0, 14, 4]","[(10, 0), (10, 1), (11, 0), (11, 1), (10, 2), (10, 3), (11, 2), (11, 3), (10, 4), (11, 4), (12, 0), (12, 1), (13, 0), (13, 1), (12, 2), (12, 3), (13, 2), (13, 3), (14, 0), (14, 1), (14, 2), (14, 3), (12, 4), (13, 4), (14, 4)]",25
"[2, 1, 6, 5]","[(2, 1), (3, 1), (2, 2), (2, 3), (3, 2), (3, 3), (2, 4), (2, 5), (3, 4), (3, 5), (4, 1), (5, 1), (4, 2), (4, 3), (5, 2), (5, 3), (6, 1), (6, 2), (6, 3), (4, 4), (4, 5), (5, 4), (5, 5), (6, 4), (6, 5)]",25
"[12, 6, 16, 10]","[(12, 6), (12, 7), (13, 6), (13, 7), (14, 6), (14, 7), (15, 6), (15, 7), (12, 8), (12, 9), (13, 8), (13, 9), (12, 10), (13, 10), (14, 8), (14, 9), (15, 8), (15, 9), (14, 10), (15, 10)]",20
"[10, 3, 14, 7]","[(10, 3), (11, 3), (10, 4), (10, 5), (11, 4), (11, 5), (10, 6), (10, 7), (11, 6), (11, 7), (12, 3), (13, 3), (14, 3), (12, 4), (12, 5), (13, 4), (13, 5), (12, 6), (12, 7), (13, 6), (13, 7), (14, 4), (14, 5), (14, 6), (14, 7)]",25
"[9, 6, 13, 10]","[(9, 6), (9, 7), (10, 6), (10, 7), (11, 6), (11, 7), (12, 6), (12, 7), (13, 6), (13, 7), (9, 8), (9, 9), (9, 10), (10, 8), (10, 9), (11, 8), (11, 9), (10, 10), (11, 10), (12, 8), (12, 9), (13, 8), (13, 9), (12, 10), (13, 10)]",25
"[8, 3, 12, 7]","[(8, 3), (9, 3), (10, 3), (11, 3), (8, 4), (8, 5), (9, 4), (9, 5), (8, 6), (8, 7), (9, 6), (9, 7), (10, 4), (10, 5), (11, 4), (11, 5), (10, 6), (10, 7), (11, 6), (11, 7), (12, 3), (12, 4), (12, 5), (12, 6), (12, 7)]",25
"[7, 3, 11, 7]","[(7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (8, 3), (9, 3), (10, 3), (11, 3), (8, 4), (8, 5), (9, 4), (9, 5), (8, 6), (8, 7), (9, 6), (9, 7), (10, 4), (10, 5), (11, 4), (11, 5), (10, 6), (10, 7), (11, 6), (11, 7)]",25
"[5, 9, 9, 13]","[(5, 9), (5, 10), (5, 11), (6, 9), (7, 9), (6, 10), (6, 11), (7, 10), (7, 11), (5, 12), (5, 13), (6, 12), (6, 13), (7, 12), (7, 13), (8, 9), (9, 9), (8, 10), (8, 11), (9, 10), (9, 11), (8, 12), (8, 13), (9, 12), (9, 13)]",25
"[1, 9, 5, 13]","[(1, 9), (1, 10), (1, 11), (2, 9), (3, 9), (2, 10), (2, 11), (3, 10), (3, 11), (1, 12), (1, 13), (2, 12), (2, 13), (3, 12), (3, 13), (4, 9), (5, 9), (4, 10), (4, 11), (5, 10), (5, 11), (4, 12), (4, 13), (5, 12), (5, 13)]",25
"[1, 12, 5, 16]","[(1, 12), (1, 13), (1, 14), (1, 15), (2, 12), (2, 13), (3, 12), (3, 13), (2, 14), (2, 15), (3, 14), (3, 15), (4, 12), (4, 13), (5, 12), (5, 13), (4, 14), (4, 15), (5, 14), (5, 15)]",20
"[5, 5, 9, 9]","[(5, 5), (5, 6), (5, 7), (6, 5), (7, 5), (6, 6), (6, 7), (7, 6), (7, 7), (5, 8), (5, 9), (6, 8), (6, 9), (7, 8), (7, 9), (8, 5), (9, 5), (8, 6), (8, 7), (9, 6), (9, 7), (8, 8), (8, 9), (9, 8), (9, 9)]",25
"[8, 7, 12, 11]","[(8, 7), (9, 7), (10, 7), (11, 7), (12, 7), (8, 8), (8, 9), (9, 8), (9, 9), (8, 10), (8, 11), (9, 10), (9, 11), (10, 8), (10, 9), (11, 8), (11, 9), (10, 10), (10, 11), (11, 10), (11, 11), (12, 8), (12, 9), (12, 10), (12, 11)]",25
"[5, 4, 9, 8]","[(5, 4), (5, 5), (5, 6), (5, 7), (6, 4), (6, 5), (7, 4), (7, 5), (6, 6), (6, 7), (7, 6), (7, 7), (5, 8), (6, 8), (7, 8), (8, 4), (8, 5), (9, 4), (9, 5), (8, 6), (8, 7), (9, 6), (9, 7), (8, 8), (9, 8)]",25
"[0, 8, 4, 12]","[(0, 8), (0, 9), (1, 8), (1, 9), (0, 10), (0, 11), (1, 10), (1, 11), (2, 8), (2, 9), (3, 8), (3, 9), (2, 10), (2, 11), (3, 10), (3, 11), (0, 12), (1, 12), (2, 12), (3, 12), (4, 8), (4, 9), (4, 10), (4, 11), (4, 12)]",25
"[0, 3, 4, 7]","[(0, 3), (1, 3), (2, 3), (3, 3), (0, 4), (0, 5), (1, 4), (1, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 4), (2, 5), (3, 4), (3, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 3), (4, 4), (4, 5), (4, 6), (4, 7)]",25
"[5, 1, 9, 5]","[(5, 1), (5, 2), (5, 3), (6, 1), (7, 1), (6, 2), (6, 3), (7, 2), (7, 3), (5, 4), (5, 5), (6, 4), (6, 5), (7, 4), (7, 5), (8, 1), (9, 1), (8, 2), (8, 3), (9, 2), (9, 3), (8, 4), (8, 5), (9, 4), (9, 5)]",25
"[3, 8, 7, 12]","[(3, 8), (3, 9), (3, 10), (3, 11), (3, 12), (4, 8), (4, 9), (5, 8), (5, 9), (4, 10), (4, 11), (5, 10), (5, 11), (6, 8), (6, 9), (7, 8), (7, 9), (6, 10), (6, 11), (7, 10), (7, 11), (4, 12), (5, 12), (6, 12), (7, 12)]",25
"[5, 3, 9, 7]","[(5, 3), (6, 3), (7, 3), (5, 4), (5, 5), (5, 6), (5, 7), (6, 4), (6, 5), (7, 4), (7, 5), (6, 6), (6, 7), (7, 6), (7, 7), (8, 3), (9, 3), (8, 4), (8, 5), (9, 4), (9, 5), (8, 6), (8, 7), (9, 6), (9, 7)]",25
"[3, 4, 7, 8]","[(3, 4), (3, 5), (3, 6), (3, 7), (4, 4), (4, 5), (5, 4), (5, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 4), (6, 5), (7, 4), (7, 5), (6, 6), (6, 7), (7, 6), (7, 7), (3, 8), (4, 8), (5, 8), (6, 8), (7, 8)]",25
"[10, 11, 14, 15]","[(10, 11), (11, 11), (10, 12), (10, 13), (11, 12), (11, 13), (10, 14), (10, 15), (11, 14), (11, 15), (12, 11), (13, 11), (14, 11), (12, 12), (12, 13), (13, 12), (13, 13), (12, 14), (12, 15), (13, 14), (13, 15), (14, 12), (14, 13), (14, 14), (14, 15)]",25
"[11, 4, 15, 8]","[(11, 4), (11, 5), (11, 6), (11, 7), (12, 4), (12, 5), (13, 4), (13, 5), (12, 6), (12, 7), (13, 6), (13, 7), (14, 4), (14, 5), (15, 4), (15, 5), (14, 6), (14, 7), (15, 6), (15, 7), (11, 8), (12, 8), (13, 8), (14, 8), (15, 8)]",25
"[4, 8, 8, 12]","[(4, 8), (4, 9), (5, 8), (5, 9), (4, 10), (4, 11), (5, 10), (5, 11), (6, 8), (6, 9), (7, 8), (7, 9), (6, 10), (6, 11), (7, 10), (7, 11), (4, 12), (5, 12), (6, 12), (7, 12), (8, 8), (8, 9), (8, 10), (8, 11), (8, 12)]",25
"[6, 4, 10, 8]","[(6, 4), (6, 5), (7, 4), (7, 5), (6, 6), (6, 7), (7, 6), (7, 7), (6, 8), (7, 8), (8, 4), (8, 5), (9, 4), (9, 5), (8, 6), (8, 7), (9, 6), (9, 7), (10, 4), (10, 5), (10, 6), (10, 7), (8, 8), (9, 8), (10, 8)]",25
"[7, 5, 11, 9]","[(7, 5), (7, 6), (7, 7), (7, 8), (7, 9), (8, 5), (9, 5), (8, 6), (8, 7), (9, 6), (9, 7), (10, 5), (11, 5), (10, 6), (10, 7), (11, 6), (11, 7), (8, 8), (8, 9), (9, 8), (9, 9), (10, 8), (10, 9), (11, 8), (11, 9)]",25
"[11, 3, 15, 7]","[(11, 3), (11, 4), (11, 5), (11, 6), (11, 7), (12, 3), (13, 3), (14, 3), (15, 3), (12, 4), (12, 5), (13, 4), (13, 5), (12, 6), (12, 7), (13, 6), (13, 7), (14, 4), (14, 5), (15, 4), (15, 5), (14, 6), (14, 7), (15, 6), (15, 7)]",25
"[0, 4, 4, 8]","[(0, 4), (0, 5), (1, 4), (1, 5), (0, 6), (0, 7), (1, 6), (1, 7), (2, 4), (2, 5), (3, 4), (3, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 4), (4, 5), (4, 6), (4, 7), (0, 8), (1, 8), (2, 8), (3, 8), (4, 8)]",25
"[8, 1, 12, 5]","[(8, 1), (9, 1), (8, 2), (8, 3), (9, 2), (9, 3), (10, 1), (11, 1), (10, 2), (10, 3), (11, 2), (11, 3), (8, 4), (8, 5), (9, 4), (9, 5), (10, 4), (10, 5), (11, 4), (11, 5), (12, 1), (12, 2), (12, 3), (12, 4), (12, 5)]",25
"[0, 7, 4, 11]","[(0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (0, 8), (0, 9), (1, 8), (1, 9), (0, 10), (0, 11), (1, 10), (1, 11), (2, 8), (2, 9), (3, 8), (3, 9), (2, 10), (2, 11), (3, 10), (3, 11), (4, 8), (4, 9), (4, 10), (4, 11)]",25
"[7, 11, 11, 15]","[(7, 11), (7, 12), (7, 13), (7, 14), (7, 15), (8, 11), (9, 11), (10, 11), (11, 11), (8, 12), (8, 13), (9, 12), (9, 13), (8, 14), (8, 15), (9, 14), (9, 15), (10, 12), (10, 13), (11, 12), (11, 13), (10, 14), (10, 15), (11, 14), (11, 15)]",25
"[7, 0, 11, 4]","[(7, 0), (7, 1), (7, 2), (7, 3), (7, 4), (8, 0), (8, 1), (9, 0), (9, 1), (8, 2), (8, 3), (9, 2), (9, 3), (10, 0), (10, 1), (11, 0), (11, 1), (10, 2), (10, 3), (11, 2), (11, 3), (8, 4), (9, 4), (10, 4), (11, 4)]",25
"[12, 6, 16, 10]","[(12, 6), (12, 7), (13, 6), (13, 7), (14, 6), (14, 7), (15, 6), (15, 7), (12, 8), (12, 9), (13, 8), (13, 9), (12, 10), (13, 10), (14, 8), (14, 9), (15, 8), (15, 9), (14, 10), (15, 10)]",20
